Name,Tag,Town Hall,Wars Participated,Number of Attacks,Attack Percentage,Total Stars,Avg. Stars,True Stars,Avg. True Stars,Total Dest,Avg Dest,Three Stars,Two Stars,One Stars,Zero Stars,Missed,Total Defenses,Defensive Stars,Avg. Defensive Stars,Total Defensive Destruction,Avg Defensive Destruction,Lower TH Hits (Dips),Upper TH Hits (Reaches),Avg. Target Position,Avg. Target Distance,cwl_month,cwl_year
(xiao),#YQCQYRQC,18.0,7.0,7.0,100,20.0,"2,86",20.0,"2,86",675.0,"96,43",6.0,1.0,0.0,0.0,0.0,6.0,13.0,"2,17",539.0,"89,83",0.0,0.0,8,"-0,57",Mayo,2025
Joselillo13,#9R0V0L0Q,18.0,6.0,6.0,100,18.0,3,18.0,3,600.0,100,6.0,0.0,0.0,0.0,0.0,5.0,13.0,"2,60",477.0,"95,40",0.0,0.0,"10,17","0,33",Mayo,2025
Tidus,#LV9RVGPU,18.0,7.0,7.0,100,17.0,"2,43",17.0,"2,43",669.0,"95,57",3.0,4.0,0.0,0.0,0.0,6.0,15.0,"2,50",592.0,"98,67",0.0,0.0,"3,57","-1,71",Mayo,2025
maldito,#QLGLRLCQ,18.0,7.0,7.0,100,16.0,"2,29",16.0,"2,29",663.0,"94,71",2.0,5.0,0.0,0.0,0.0,6.0,14.0,"2,33",508.0,"84,67",0.0,0.0,"3,86","-0,43",Mayo,2025
AskerosoMilwoky,#8GYCVQGPC,18.0,6.0,6.0,100,16.0,"2,67",16.0,"2,67",578.0,"96,33",4.0,2.0,0.0,0.0,0.0,6.0,15.0,"2,50",569.0,"94,83",0.0,0.0,"11,50","-0,50",Mayo,2025
dreef,#LPLLVVU2U,18.0,6.0,6.0,100,15.0,"2,50",15.0,"2,50",587.0,"97,83",4.0,1.0,1.0,0.0,0.0,5.0,14.0,"2,80",496.0,"99,20",0.0,0.0,15,0,Mayo,2025
Leo Mster 66,#9808V2Y2J,18.0,6.0,6.0,100,15.0,"2,50",15.0,"2,50",585.0,"97,50",4.0,1.0,1.0,0.0,0.0,5.0,14.0,"2,80",496.0,"99,20",0.0,0.0,"10,67",0,Mayo,2025
cesobo,#GPV228QU,18.0,6.0,6.0,100,15.0,"2,50",15.0,"2,50",574.0,"95,67",3.0,3.0,0.0,0.0,0.0,5.0,14.0,"2,80",488.0,"97,60",0.0,0.0,"4,17",-2,Mayo,2025
DA SILVA,#RQ99LC9U,18.0,6.0,6.0,100,15.0,"2,50",15.0,"2,50",572.0,"95,33",3.0,3.0,0.0,0.0,0.0,5.0,12.0,"2,40",490.0,98,0.0,0.0,1,-1,Mayo,2025
Calvente7,#28RJULJYY,18.0,6.0,6.0,100,15.0,"2,50",15.0,"2,50",552.0,92,3.0,3.0,0.0,0.0,0.0,5.0,13.0,"2,60",492.0,"98,40",0.0,0.0,"4,50","-6,17",Mayo,2025
$bykronor37$,#G8GPL2PY,18.0,6.0,6.0,100,14.0,"2,33",14.0,"2,33",567.0,"94,50",3.0,2.0,1.0,0.0,0.0,5.0,12.0,"2,40",491.0,"98,20",0.0,0.0,"6,83","5,83",Mayo,2025
Matt_Mlaga,#UU9VGY0Y,18.0,6.0,6.0,100,14.0,"2,33",14.0,"2,33",560.0,"93,33",2.0,4.0,0.0,0.0,0.0,6.0,14.0,"2,33",577.0,"96,17",0.0,0.0,9,"6,33",Mayo,2025
JVMRVL denigran,#QL20GUJ2J,18.0,5.0,5.0,100,14.0,"2,80",14.0,"2,80",479.0,"95,80",4.0,1.0,0.0,0.0,0.0,4.0,10.0,"2,50",359.0,"89,75",0.0,0.0,13,"-0,20",Mayo,2025
/Sun Wukong,#YU0CP009C,18.0,5.0,5.0,100,13.0,"2,60",13.0,"2,60",471.0,"94,20",3.0,2.0,0.0,0.0,0.0,5.0,14.0,"2,80",481.0,"96,20",0.0,0.0,14,0,Mayo,2025
Morfeo46,#V2JR880G,18.0,5.0,5.0,100,12.0,"2,40",12.0,"2,40",459.0,"91,80",2.0,3.0,0.0,0.0,0.0,4.0,10.0,"2,50",377.0,"94,25",0.0,0.0,"4,40",1,Mayo,2025
BOQ_Magnito,#GQLLCVV2R,18.0,5.0,5.0,100,12.0,"2,40",12.0,"2,40",450.0,90,2.0,3.0,0.0,0.0,0.0,4.0,12.0,3,400.0,100,0.0,0.0,"7,80","-0,40",Mayo,2025
Melphas Turbo,#PPGLC2PR2,18.0,5.0,5.0,100,9.0,"1,80",9.0,"1,80",460.0,92,0.0,4.0,1.0,0.0,0.0,4.0,9.0,"2,25",339.0,"84,75",0.0,0.0,13,"0,20",Mayo,2025
The-harmen-path,#P9P80URV,18.0,5.0,5.0,100,9.0,"1,80",9.0,"1,80",448.0,"89,60",1.0,2.0,2.0,0.0,0.0,4.0,11.0,"2,75",396.0,99,0.0,0.0,"6,80","-0,20",Mayo,2025
Slayer,#9LJ9C8R2L,18.0,7.0,7.0,100,21.0,3,21.0,3,700.0,100,7.0,0.0,0.0,0.0,0.0,6.0,13.0,"2,17",485.0,"80,83",2.0,0.0,"12,14","10,14",Junio,2025
JVMRVL,#QPG8LPP09,16.0,7.0,7.0,100,21.0,3,21.0,3,700.0,100,7.0,0.0,0.0,0.0,0.0,4.0,10.0,"2,50",356.0,89,2.0,3.0,"20,57","-1,14",Junio,2025
Melphas,#GRV0P8QLP,15.0,7.0,7.0,100,20.0,"2,86",20.0,"2,86",698.0,"99,71",6.0,1.0,0.0,0.0,0.0,5.0,13.0,"2,60",470.0,94,3.0,4.0,"28,86",0,Junio,2025
kronor2,#G0YRLPGRG,15.0,7.0,7.0,100,20.0,"2,86",17.0,"2,43",664.0,"94,86",6.0,1.0,0.0,0.0,0.0,7.0,17.0,"2,43",570.0,"81,43",4.0,3.0,23,"-6,57",Junio,2025
Mini Kaizen ,#QCYY8R2VP,17.0,7.0,7.0,100,19.0,"2,71",19.0,"2,71",652.0,"93,14",5.0,2.0,0.0,0.0,0.0,7.0,16.0,"2,29",615.0,"87,86",2.0,2.0,17,0,Junio,2025
alejandro,#8QRRPRPCY,15.0,7.0,7.0,100,19.0,"2,71",19.0,"2,71",652.0,"93,14",5.0,2.0,0.0,0.0,0.0,6.0,16.0,"2,67",587.0,"97,83",2.0,5.0,"28,57",0,Junio,2025
Mini Kaizen ,#LCJ2LYLUV,17.0,7.0,7.0,100,19.0,"2,71",19.0,"2,71",637.0,91,5.0,2.0,0.0,0.0,0.0,7.0,16.0,"2,29",590.0,"84,29",5.0,1.0,"21,57","-1,29",Junio,2025
The-harme-komer,#G8VRYV802,16.0,7.0,7.0,100,18.0,"2,57",18.0,"2,57",663.0,"94,71",4.0,3.0,0.0,0.0,0.0,7.0,15.0,"2,14",534.0,"76,29",2.0,4.0,"24,29","-1,14",Junio,2025
Miqueas,#GYUJQPVV9,17.0,7.0,7.0,100,18.0,"2,57",18.0,"2,57",662.0,"94,57",4.0,3.0,0.0,0.0,0.0,3.0,8.0,"2,67",275.0,"91,67",2.0,3.0,"15,57",0,Junio,2025
Sha,#9V8QYVJ0,18.0,7.0,7.0,100,18.0,"2,57",18.0,"2,57",652.0,"93,14",4.0,3.0,0.0,0.0,0.0,6.0,13.0,"2,17",478.0,"79,67",1.0,0.0,"3,57","0,57",Junio,2025
byanikilator,#299LR8GC2,16.0,7.0,7.0,100,18.0,"2,57",18.0,"2,57",645.0,"92,14",4.0,3.0,0.0,0.0,0.0,7.0,14.0,2,497.0,71,1.0,5.0,18,0,Junio,2025
BOQ.Freddy 82,#QG82VVL89,17.0,7.0,7.0,100,18.0,"2,57",18.0,"2,57",627.0,"89,57",4.0,3.0,0.0,0.0,0.0,7.0,19.0,"2,71",628.0,"89,71",4.0,1.0,24,0,Junio,2025
PEPIN,#Q0G02UJV,18.0,7.0,7.0,100,17.0,"2,43",17.0,"2,43",676.0,"96,57",4.0,2.0,1.0,0.0,0.0,7.0,11.0,"1,57",500.0,"71,43",1.0,0.0,2,1,Junio,2025
pttdvaro,#GPGU8GPCQ,17.0,7.0,7.0,100,17.0,"2,43",17.0,"2,43",657.0,"93,86",4.0,2.0,1.0,0.0,0.0,6.0,14.0,"2,33",542.0,"90,33",0.0,7.0,"1,14",-14,Junio,2025
Xemita1Shot,#8VJVCUC0R,15.0,7.0,7.0,100,17.0,"2,43",17.0,"2,43",646.0,"92,29",3.0,4.0,0.0,0.0,0.0,7.0,19.0,"2,71",648.0,"92,57",2.0,3.0,"25,57",0,Junio,2025
mazoneegro17,#Q8QUR8PJ,15.0,7.0,7.0,100,17.0,"2,43",17.0,"2,43",610.0,"87,14",4.0,2.0,1.0,0.0,0.0,6.0,15.0,"2,50",526.0,"87,67",2.0,4.0,"26,86","-0,14",Junio,2025
ESCORPION 82,#VQUJ0PCY,18.0,7.0,7.0,100,17.0,"2,43",17.0,"2,43",607.0,"86,71",3.0,4.0,0.0,0.0,0.0,7.0,18.0,"2,57",603.0,"86,14",1.0,0.0,5,0,Junio,2025
Alejandro,#2QPLVPRUV,16.0,7.0,7.0,100,17.0,"2,43",17.0,"2,43",589.0,"84,14",3.0,4.0,0.0,0.0,0.0,4.0,10.0,"2,50",384.0,96,2.0,4.0,20,0,Junio,2025
Marco,#Q0V0G90G2,17.0,7.0,7.0,100,16.0,"2,29",16.0,"2,29",623.0,89,3.0,3.0,1.0,0.0,0.0,6.0,12.0,2,521.0,"86,83",1.0,3.0,13,0,Junio,2025
Bo_Sergio,#82PGUG88,17.0,7.0,7.0,100,16.0,"2,29",16.0,"2,29",596.0,"85,14",2.0,5.0,0.0,0.0,0.0,6.0,14.0,"2,33",514.0,"85,67",2.0,4.0,11,2,Junio,2025
BOQ_Kaizen,#YGV0UPUR,18.0,7.0,7.0,100,16.0,"2,29",13.0,"1,86",586.0,"83,71",2.0,5.0,0.0,0.0,0.0,6.0,12.0,2,472.0,"78,67",1.0,0.0,"4,71","0,71",Junio,2025
Elisa,#LGQ802JQC,17.0,7.0,7.0,100,16.0,"2,29",16.0,"2,29",581.0,83,2.0,5.0,0.0,0.0,0.0,6.0,13.0,"2,17",489.0,"81,50",1.0,4.0,10,0,Junio,2025
Mini Kaizen ,#PR0RRJ2QG,17.0,7.0,7.0,100,16.0,"2,29",16.0,"2,29",579.0,"82,71",2.0,5.0,0.0,0.0,0.0,5.0,12.0,"2,40",464.0,"92,80",1.0,3.0,"11,71","0,14",Junio,2025
Emanuel,#QCQCPLQP0,17.0,7.0,7.0,100,16.0,"2,29",16.0,"2,29",562.0,"80,29",2.0,5.0,0.0,0.0,0.0,6.0,13.0,"2,17",487.0,"81,17",2.0,4.0,"14,29",0,Junio,2025
Julio289,#9LJV8VPCY,17.0,7.0,7.0,100,15.0,"2,14",15.0,"2,14",563.0,"80,43",1.0,6.0,0.0,0.0,0.0,7.0,15.0,"2,14",627.0,"89,57",1.0,5.0,7,0,Junio,2025
mini kaizen,#L8QPGRR0G,17.0,7.0,7.0,100,15.0,"2,14",15.0,"2,14",563.0,"80,43",2.0,4.0,1.0,0.0,0.0,6.0,17.0,"2,83",589.0,"98,17",1.0,3.0,12,"0,57",Junio,2025
Rhaegar,#PRLJLJY0P,16.0,7.0,6.0,"85,71",15.0,"2,50",15.0,"2,50",562.0,"93,67",4.0,1.0,1.0,0.0,1.0,7.0,17.0,"2,43",590.0,"84,29",2.0,3.0,20,1,Junio,2025
Luisito,#RQ290GJU,17.0,7.0,7.0,100,14.0,2,14.0,2,575.0,"82,14",2.0,3.0,2.0,0.0,0.0,7.0,16.0,"2,29",590.0,"84,29",1.0,4.0,8,0,Junio,2025
sisito03,#Y2U0VUPP,16.0,7.0,7.0,100,13.0,"1,86",13.0,"1,86",594.0,"84,86",1.0,4.0,2.0,0.0,0.0,6.0,17.0,"2,83",589.0,"98,17",2.0,3.0,"21,43",0,Junio,2025
Goyogr,#2UCL8LR8,18.0,7.0,5.0,"71,43",12.0,"2,40",12.0,"2,40",439.0,"87,80",2.0,3.0,0.0,0.0,2.0,5.0,14.0,"2,80",483.0,"96,60",3.0,0.0,"14,40","8,40",Junio,2025
Quam!x,#CRG8YQY9,18.0,7.0,7.0,100,21.0,3,21.0,3,700.0,100,7.0,0.0,0.0,0.0,0.0,6.0,14.0,"2,33",499.0,"83,17",0.0,0.0,"7,57","5,29",Julio,2025
eldavidelacosta,#Q0YJ82VY9,18.0,7.0,7.0,100,21.0,3,21.0,3,700.0,100,7.0,0.0,0.0,0.0,0.0,5.0,13.0,"2,60",464.0,"92,80",2.0,0.0,"28,43","-1,29",Julio,2025
BOQ_blackened,#Y0YCJQGGL,18.0,7.0,7.0,100,20.0,"2,86",20.0,"2,86",694.0,"99,14",6.0,1.0,0.0,0.0,0.0,6.0,15.0,"2,50",561.0,"93,50",0.0,0.0,"19,29",-10,Julio,2025
